
"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia"
"050498","SUTTER AUBURN FAITH HOSPITAL","11815 EDUCATION STREET","","","AUBURN","CA","95603","PLACER","5308884500","15.8","No Different than U.S. National Rate","12.1","20.5","45","","14.3","No Different than U.S. National Rate","11.2","18.4","133","","12.4","No Different than U.S. National Rate","9.5","15.9","194","","18.1","No Different than U.S. National Rate","14.2","22.7","29","","25.0","No Different than U.S. National Rate","21.0","29.3","150","","17.4","No Different than U.S. National Rate","14.3","20.9","208",""
"050502","SAINT VINCENT MEDICAL CENTER","2131 W 3RD ST","","","LOS ANGELES","CA","90057","LOS ANGELES","2134847111","13.8","No Different than U.S. National Rate","10.8","17.3","106","","8.4","Better than U.S. National Rate","6.6","10.4","365","","7.2","Better than U.S. National Rate","5.7","9.0","413","","19.0","No Different than U.S. National Rate","15.4","23.3","109","","22.8","No Different than U.S. National Rate","20.1","26.0","464","","17.2","No Different than U.S. National Rate","14.7","20.2","422",""
"050503","SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","354 SANTA FE DRIVE","","","ENCINITAS","CA","92024","SAN DIEGO","7607536501","12.9","No Different than U.S. National Rate","10.1","16.2","164","","11.3","No Different than U.S. National Rate","9.0","14.1","280","","12.0","No Different than U.S. National Rate","9.5","14.8","251","","18.3","No Different than U.S. National Rate","14.7","22.6","143","","23.5","No Different than U.S. National Rate","20.1","27.4","328","","18.6","No Different than U.S. National Rate","15.5","22.3","255",""
"050506","SIERRA VISTA REGIONAL MEDICAL CENTER","1010 MURRAY ST","","","SAN LUIS OBISPO","CA","93405","SAN LUIS OBISPO","8505467600","18.8","No Different than U.S. National Rate","14.6","23.6","53","","13.3","No Different than U.S. National Rate","9.8","17.2","104","","14.1","No Different than U.S. National Rate","10.8","18.0","165","","19.1","No Different than U.S. National Rate","15.0","24.0","46","","23.7","No Different than U.S. National Rate","19.5","28.7","120","","20.1","No Different than U.S. National Rate","16.2","24.4","169",""
"050510","KAISER FOUNDATION HOSPITAL","99 MONTECILLO RD","","","SAN RAFAEL","CA","94903","MARIN","4154442000","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","13","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","13","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","6","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","16","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","14","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"050512","KAISER FOUNDATION HOSPITAL FREMONT/HAYWARD","27400 HESPERIAN BLVD","","","HAYWARD","CA","94545","ALAMEDA","5107844000","Not Available","Number of Cases Too Small","Not Available","Not Available","7","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","22","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","7","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.3","No Different than U.S. National Rate","19.7","29.6","29","","Not Available","Number of Cases Too Small","Not Available","Not Available","18","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"050515","KAISER FOUNDATION HOSPITAL - SAN DIEGO","4647 ZION AVE","","","SAN DIEGO","CA","92120","SAN DIEGO","6195285000","Not Available","Number of Cases Too Small","Not Available","Not Available","6","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","10","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","10","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"050516","MERCY SAN JUAN MEDICAL CENTER","6501 COYLE AVE","","","CARMICHAEL","CA","95608","SACRAMENTO","9165375000","15.8","No Different than U.S. National Rate","13.0","19.2","258","","11.8","No Different than U.S. National Rate","9.5","14.4","414","","13.1","No Different than U.S. National Rate","10.7","16.0","414","","20.4","No Different than U.S. National Rate","17.0","24.3","237","","25.9","No Different than U.S. National Rate","22.6","29.3","467","","19.1","No Different than U.S. National Rate","16.1","22.2","432",""
"050517","VICTOR VALLEY COMMUNITY HOSPITAL","15248 11TH ST","","","VICTORVILLE","CA","92392","SAN BERNARDINO","7602458691","Not Available","Number of Cases Too Small","Not Available","Not Available","21","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","13.2","No Different than U.S. National Rate","9.6","18.0","74","","13.4","No Different than U.S. National Rate","9.6","18.3","73","","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.5","No Different than U.S. National Rate","20.2","29.3","87","","18.7","No Different than U.S. National Rate","14.9","23.0","75",""
"050523","SUTTER DELTA MEDICAL CENTER","3901 LONE TREE WAY","","","ANTIOCH","CA","94509","CONTRA COSTA","9257797200","16.0","No Different than U.S. National Rate","12.5","20.1","128","","12.2","No Different than U.S. National Rate","9.6","15.1","247","","12.7","No Different than U.S. National Rate","10.1","16.1","237","","20.5","No Different than U.S. National Rate","16.7","24.8","109","","22.5","No Different than U.S. National Rate","19.2","26.0","279","","20.5","No Different than U.S. National Rate","17.2","24.1","249",""
"050526","HUNTINGTON BEACH HOSPITAL","17772 BEACH BLVD","","","HUNTINGTON BEACH","CA","92647","ORANGE","7148435000","16.1","No Different than U.S. National Rate","12.7","20.0","60","","8.3","Better than U.S. National Rate","6.3","10.8","127","","9.0","Better than U.S. National Rate","6.9","11.6","134","","22.8","No Different than U.S. National Rate","18.6","27.5","39","","27.0","No Different than U.S. National Rate","22.9","31.2","151","","16.8","No Different than U.S. National Rate","13.9","20.3","147",""
"050528","MEMORIAL HOSPITAL LOS BANOS","520 WEST I ST","","","LOS BANOS","CA","93635","MERCED","2098260591","Not Available","Number of Cases Too Small","Not Available","Not Available","19","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.2","No Different than U.S. National Rate","8.2","15.1","73","","12.6","No Different than U.S. National Rate","9.2","17.1","120","","Not Available","Number of Cases Too Small","Not Available","Not Available","12","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.7","No Different than U.S. National Rate","20.4","29.5","74","","18.2","No Different than U.S. National Rate","14.7","22.4","118",""
"050531","BELLFLOWER MEDICAL CENTER","9542 E ARTESIA BLVD","","","BELLFLOWER","CA","90706","LOS ANGELES","5629258355","Not Available","Number of Cases Too Small","Not Available","Not Available","6","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.5","No Different than U.S. National Rate","8.2","15.8","37","","9.9","No Different than U.S. National Rate","6.9","13.6","89","","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.3","No Different than U.S. National Rate","21.7","31.6","41","","17.8","No Different than U.S. National Rate","14.3","22.1","95",""
"050534","JOHN F KENNEDY MEMORIAL HOSPITAL, INC","47-111 MONROE STREET","","","INDIO","CA","92201","RIVERSIDE","7603476191","17.4","No Different than U.S. National Rate","13.1","22.3","81","","10.2","No Different than U.S. National Rate","7.4","14.0","118","","9.9","No Different than U.S. National Rate","7.2","13.3","182","","18.9","No Different than U.S. National Rate","15.1","23.5","51","","27.5","No Different than U.S. National Rate","23.3","32.4","147","","18.0","No Different than U.S. National Rate","14.8","21.6","191",""
"050537","SUTTER DAVIS HOSPITAL","2000 SUTTER PLACE","","","DAVIS","CA","95616","YOLO","5307566440","Not Available","Number of Cases Too Small","Not Available","Not Available","12","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","12.0","No Different than U.S. National Rate","8.8","16.2","66","","11.1","No Different than U.S. National Rate","8.0","15.1","77","","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","22.0","No Different than U.S. National Rate","17.8","27.0","78","","18.2","No Different than U.S. National Rate","14.5","22.5","91",""
"050541","KAISER FOUNDATION HOSPITAL - REDWOOD CITY","1150 VETERANS BOULEVARD","","","REDWOOD CITY","CA","94063","SAN MATEO","6502992000","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","7","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"050543","COLLEGE HOSPITAL COSTA MESA","301 VICTORIA STREET","","","COSTA MESA","CA","92627","ORANGE","9496422734","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure"
"050547","SONOMA DEVELOPMENTAL CENTER","P O BOX 1493","","","ELDRIDGE","CA","95431","SONOMA","7079386393","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","7","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"050549","LOS ROBLES HOSPITAL & MEDICAL CENTER","215 W JANSS RD","","","THOUSAND OAKS","CA","91360","VENTURA","8054972727","13.5","No Different than U.S. National Rate","11.3","16.2","385","","10.5","No Different than U.S. National Rate","8.6","12.7","517","","10.1","No Different than U.S. National Rate","8.1","12.5","425","","19.0","No Different than U.S. National Rate","16.2","22.2","406","","22.3","No Different than U.S. National Rate","19.5","25.2","580","","16.1","No Different than U.S. National Rate","13.5","19.2","407",""
"050551","LOS ALAMITOS MEDICAL CENTER","3751 KATELLA AVENUE","","","LOS ALAMITOS","CA","90720","ORANGE","5627993220","15.2","No Different than U.S. National Rate","12.2","19.0","119","","14.1","No Different than U.S. National Rate","11.2","17.4","285","","12.9","No Different than U.S. National Rate","10.6","15.8","356","","19.7","No Different than U.S. National Rate","15.8","24.1","94","","23.3","No Different than U.S. National Rate","20.2","26.9","336","","15.9","No Different than U.S. National Rate","13.2","19.1","346",""
"050552","MOTION PICTURE & TELEVISION HOSPITAL","23388 MULHOLLAND DRIVE","","","WOODLAND HILLS","CA","91364","LOS ANGELES","8188761888","Not Available","Number of Cases Too Small","Not Available","Not Available","7","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.0","No Different than U.S. National Rate","7.8","14.9","36","","12.7","No Different than U.S. National Rate","9.3","17.1","46","","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.5","No Different than U.S. National Rate","19.8","29.5","38","","19.5","No Different than U.S. National Rate","15.2","24.3","42",""
